total_sqft,bath,location,price,size
1250,3,Nagarbhavi,17500000,4 Bedroom
800,6,Manganahalli,9800000,6 Bedroom
1339,2,Kanakpura Road,7150000,2 BHK
938,2,Uttarahalli,3500000,2 BHK
450,1,Kuvempu Nagar,2500000,1 BHK
1100,2,BTM 2nd Stage,7000000,2 BHK
600,3,2nd Stage Nagarbhavi,9500000,4 Bedroom
1060,2,Yelahanka,4000000,2 BHK
1125,2,Whitefield,4000000,2 BHK
810,1,Whitefield,2100000,1 BHK
1060,2,Bellandur,6500000,2 BHK
1749,4,Anandapura,9000000,4 Bedroom
1200,2,Sahakara Nagar,7500000,3 BHK
1100,2,Cleveland Town,8500000,2 BHK
660 - 700,1,Rachenahalli,3264000,1 BHK
720,4,Jalahalli East,4800000,4 Bedroom
6613,7,Gunjur,95000000,5 Bedroom
1925,3,Hoodi,11000000,3 BHK
502,1,Kengeri,2500000,1 BHK
3339,3,Bommenahalli,25000000,3 Bedroom
1475,2,Begur,7400000,3 BHK
1550,3,Indra Nagar,25800000,3 BHK
966,2,Peenya,4900000,2 BHK
1350,6,t.c palya,16000000,6 Bedroom
1300,2,Haralur Road,7500000,2 BHK
4400,4,Bagalur Main Road,35000000,5 Bedroom
1559,3,Kogilu,12000000,3 BHK
1246,2,Vittasandra,6300000,2 BHK
2790,3,Rajaji Nagar,95000000,3 Bedroom
1410,2,Begur Road,5358000,3 BHK
1300,3,Varthur Road,7500000,4 Bedroom
900,4,Ilyas Nagar,7500000,4 Bedroom
1104,2,Channasandra,3550000,2 BHK
900,2,Sultan Palaya,4500000,2 BHK
1550,2,3rd Phase JP Nagar,7900000,3 BHK
670,1,Kanakpura Road,3500000,1 BHK
1483,2,Jakkur,9800000,2 BHK
1540,2,Basapura,7000000,3 BHK
1200,7,Naganathapura,10000000,8 Bedroom
1255,2,Hennur,5450000,2 BHK
600,3,OMBR Layout,10000000,3 Bedroom
1036,2,Jayanagar,11000000,2 BHK
1460,2,Bannerghatta Road,7500000,3 BHK
1230,2,Devarachikkanahalli,5800000,2 BHK
1340,2,Kanakpura Road,6000000,2 BHK
1600,3,Yelenahalli,6137000,3 BHK
2162,3,Hegde Nagar,20000000,3 BHK
919,2,Electronic City,4000000,2 BHK
1070,2,4th Phase JP Nagar,3890000,2 BHK
1733,2,Hosur Road,8500000,3 BHK
1221,3,Jigani,7200000,3 BHK
1041,2,kanakapura main road,3644000,2 BHK
2550,4,Ambalipura,14900000,4 BHK
1400,3,Shampura,7000000,3 BHK
600,2,Anjanapura,5500000,1 Bedroom
710,2,Nagarbhavi,4000000,1 BHK
1500,2,Electronic City,7825000,3 BHK
3122,6,Thigalarapalya,23700000,4 BHK
2061,3,Akshaya Nagar,17500000,3 BHK
2400,5,Brookefield,32500000,5 Bedroom
2425,7,Malleshwaram,14000000,7 BHK
1210,2,Balagere,7400000,2 BHK
950,2,Anjanapura,4000000,2 BHK
1376,4,Nagaraja Garden,15600000,4 Bedroom
1303,2,Raja Rajeshwari Nagar,4417000,2 BHK
1418,2,Thigalarapalya,10500000,2 BHK
1200,2,Kengeri Satellite Town,6500000,2 Bedroom
1825,3,Basavangudi,17500000,3 BHK
1015,2,Bannerghatta Road,4800000,2 BHK
1150,2,Mathikere,6000000,3 BHK
1010,2,Singasandra,4000000,2 BHK
1508,3,Reliaable Tranquil Layout,7500000,3 BHK
1275,2,7th Phase JP Nagar,8700000,2 BHK
1460,3,7th Phase JP Nagar,7000000,3 BHK
946,2,Old Airport Road,5800000,2 BHK
1110,2,Vignana Nagar,5800000,2 BHK
1832,3,Hennur Road,12500000,3 BHK
1088,2,Hebbal,6145000,2 BHK
1564,3,Thanisandra,10400000,3 BHK
1030,2,Kadugodi,3502000,2 BHK
660,2,9th Phase JP Nagar,2700000,2 BHK
1700,3,Sarjapur  Road,9500000,3 BHK
1100,5,BTM 1st Stage,12100000,4 Bedroom
1205,2,Panathur,6290000,2 BHK
1950,3,Lottegolla Halli,9000000,3 BHK
1080,2,Devanahalli Int. Airport,6200000,2 BHK
2800,4,Ardendale,14000000,4 BHK
999,2,Mailasandra,4366000,2 BHK
900,4,Basvasamithi Layout Vidyaranyapura,17500000,4 Bedroom
1300,2,Kanakpura Road,8976000,2 BHK
1265,2,HRBR Layout,7800000,2 BHK
1200,2,Attibele,4200000,2 BHK
1974,4,Bhoganhalli,10600000,4 BHK
1180,2,Chelekare,4000000,2 BHK
1350,2,Amruthahalli,6300000,3 BHK
1560,2,Kodichikkanahalli,6500000,3 BHK
2800,2,8th Block Jayanagar,65000000,2 Bedroom
1085,2,Hosakerehalli,4123000,2 BHK
1300,2,Vijayanagar,7500000,3 BHK
1600,3,Marathahalli,5600000,3 BHK
1127,2,Atmananda Colony,5500000,2 BHK
795,2,Kengeri Satellite Town,3200000,2 BHK
1850,3,Nagarbhavi,8800000,3 BHK
1020,2,Bommasandra Industrial Area,2945000,2 BHK
1475,2,Doopanahalli,20000000,3 BHK
1200,3,Baba Nagar,9625000,3 Bedroom
1345,2,Uttarahalli,4700000,3 BHK
849,2,Kaikondrahalli,2540000,2 BHK
1706,3,Kanakpura Road,13500000,3 BHK
2100,4,Yelahanka,18000000,4 BHK
1250,2,Nagadevanahalli,6500000,3 BHK
1260,3,Kanakpura Road,6358000,3 BHK
1265,2,Horamavu Agara,6500000,3 BHK
1260,2,Abbigere,4500000,3 BHK
1045,2,Jalahalli,5800000,2 BHK
3895,4,Hebbal Kempapura,49500000,4 BHK
385 - 440,1, Rachenahalli,1980000,1 RK
1100,2,Bellandur,6200000,2 BHK
1113,2,Kudlu Gate,5000000,2 BHK
2774,4,Old Airport Road,20800000,4 BHK
1210,2,Varthur,6000000,2 BHK
700,1,Kogilu,3084000,1 BHK
1155,2,Kanakpura Road,5550000,2 BHK
1132,2,Hoodi,8900000,2 BHK
1359,2,Hennur Road,10400000,2 BHK
2631,3,Byatarayanapura,20000000,4 BHK
1145,2,Kothanur,5600000,2 BHK
600,1,5th Phase JP Nagar,3000000,1 BHK
1200,1,Laggere,12500000,1 Bedroom
830,2,Mahalakshmi Puram,6000000,2 BHK
1009,2,HSR Layout,5600000,2 BHK
1800,3,Basavangudi,19500000,3 BHK
1226,2,Yelahanka,5271000,2 BHK
1500,2,Badrappa Layout,8800000,2 BHK
1363,2,Electronic City,7900000,2 BHK
1400,2,Poorna Pragna Layout,24000000,3 Bedroom
1165,2,Bommasandra Industrial Area,3364000,2 BHK
2792,4,HSR Layout,22000000,4 Bedroom
700,1,Kammanahalli,5900000,1 Bedroom
1060,2,Kaval Byrasandra,4200000,2 BHK
1200,2,Marathahalli,6700000,2 BHK
1518,3,"Off Sarjapur Road, ",7600000,3 BHK
1495,2,Nagappa Reddy Layout,7500000,3 BHK
1575,2,Sanjay nagar,9000000,2 BHK
1440,2,Rajaji Nagar,17000000,2 BHK
1545,3,Kasavanhalli,6900000,3 BHK
1470,3,Kengeri,5000000,3 BHK
1500,3,Cooke Town,9500000,3 BHK
1450,2,BTM Layout,8100000,3 BHK
1179,2,Hosur Road,4900000,2 BHK
1650,3,7th Phase JP Nagar,11000000,3 BHK
1095,2,Chandapura,3200000,3 BHK
856,2,Lal Bahadur Shastri Nagar,4800000,2 BHK
1143,2,Naganathapura,6200000,2 BHK
1349,2,Hebbal,9780000,2 BHK
1280,2,Anjanapura,4500000,3 BHK
480,1,Malleshwaram,6000000,1 BHK
1216,2,Whitefield,6906000,2 BHK
1290,2,Malleshwaram,12000000,2 BHK
1200,5,Banjara Layout,9600000,5 Bedroom
1156,2,Electronic City,4200000,2 BHK
1230,2,Thanisandra,4400000,2 BHK
1070,2,Volagerekallahalli,3315000,2 BHK
2100 - 5405,,Devanahalli,17711500,
1235,2,Ramagondanahalli,4930000,2 BHK
1117,2,6th block Koramangala,11000000,2 BHK
1724,3,Kundalahalli,12400000,3 BHK
1200,4,Jalahalli,9000000,4 Bedroom
600,1,Venkatadri Layout,4300000,1 BHK
1930,2,KR Puram,5790000,3 BHK
1216,2,Whitefield,7500000,2 BHK
1452,3,KR Puram,6000000,3 BHK
1355,2,Whitefield,7800000,2 BHK
7500,4,HMT Layout,42500000,4 Bedroom
2145,3,Sarjapur  Road,19000000,3 BHK
957,2,Bommanahalli,5300000,2 BHK
925,2,Shantiniketan Layout,4800000,2 BHK
1550,2,Bellandur,5900000,2 BHK
4000,2,Yelahanka New Town,89900000,4 Bedroom
2100,3,Kanakpura Road,14000000,3 Bedroom
1115,2,Bannerghatta Road,6100000,2 BHK
1692,3,Yelahanka,8300000,3 BHK
1100,2,Baba Nagar,5200000,2 BHK
1385,2,Hormavu,6900000,3 BHK
760,1,Hosa Road,2490000,1 BHK
1335,2,Electronics City Phase 1,6700000,2 BHK
910,2,Bommanahalli,4500000,2 BHK
1610,2,Kanakpura Road,5500000,3 BHK
1341,2,Hennur Road,7576000,2 BHK
1200,3,Kurubarahalli,7000000,3 Bedroom
1285,2,Uttarahalli,4498000,3 BHK
2100,3,HAL 2nd Stage,25200000,3 BHK
1679,3,Yeshwanthpur,9213000,3 BHK
2675,4,Puttappa Layout,29000000,4 Bedroom
1016,2,"Ananthanagar Phase 1,Electronic City , phase 2",4590000,2 BHK
1500,2,Banashankari Stage II,65000000,4 Bedroom
660,2,Palace Guttahalli,10000000,3 Bedroom
2448,3,Rajaji Nagar,40000000,3 BHK
500,1,8th Phase JP Nagar,3100000,1 BHK
1800,3,Ngef Layout,8800000,3 BHK
1255,2,Whitefield,7700000,2 BHK
1040,2,Hennur Road,5000000,2 BHK
1062,2,Kattigenahalli,4700000,2 BHK
770 - 841,2,Varthur Road,1933000,2 BHK
950,2,Hosur Road,6000000,2 BHK
1216,2,Whitefield,7300000,2 BHK
1300,2,HSR Layout,9800000,2 BHK
1390,2,5th Phase JP Nagar,6500000,2 BHK
1033,2,Yelahanka,5258000,2 BHK
1390,2,Yelahanka,6531000,2 BHK
1020,2,Jalahalli,5200000,2 BHK
524 - 894,1,Whitefield,3473500,1 BHK
1140,2,Whitefield,4500000,2 BHK
670,1,Yeshwanthpur,3685000,1 BHK
2171,4,Bhoganhalli,11100000,4 BHK
1136,2,Bannerghatta Road,4800000,2 BHK
1477,2,Doddakannelli,8000000,3 BHK
1001,2,KR Puram,3000000,2 BHK
1040,2,Yelahanka,4886000,2 BHK
1060,2,Garudachar Palya,4850000,2 BHK
1240,2,Sarjapur,4430000,2 BHK
3500,5,Byadarahalli,45000000,4 BHK
42000,8,Doddabommasandra,17500000,9 BHK
1070,2,Varthur,4600000,2 BHK
1253,2,Electronic City Phase II,6580000,2 BHK
1190,2,Whitefield,6000000,2 BHK
1312,2,Whitefield,5500000,2 BHK
750,2,KR Puram,4000000,2 BHK
1615,3,Koramangala,11500000,3 BHK
1095,2,Marathahalli,6000000,2 BHK
1745,3,Whitefield,10000000,3 BHK
2080,4,4th T block Jayanagar,44000000,4 Bedroom
1220,2,Thanisandra,4460000,2 BHK
1793,3,Kempegowda Nagar,9800000,3 BHK
1100,1,Uttarahalli,4500000,2 BHK
1385,2,Yelahanka New Town,6500000,2 BHK
2017,2,Haralur Road,12500000,3 BHK
400,1,Attibele,1000000,1 BHK
1400,2,Bellandur,4481000,3 BHK
960,2,Bethel Nagar,3300000,2 BHK
1125,2,Uttarahalli,4700000,2 BHK
1551,2,Akshaya Nagar,6000000,3 BHK
600,4,BTM Layout,12200000,4 Bedroom
3200,4,Whitefield,22400000,4 BHK
1060,2,Marathahalli,4800000,2 BHK
1384,2,Bharathi Nagar,5900000,2 BHK
620,2,Byagadadhenahalli,2300000,2 BHK
1005,2,Bommasandra,3977000,2 BHK
1200,3,Sarakki Nagar,12800000,3 Bedroom
1400,3,Kirloskar Layout,3500000,3 BHK
2400,3,HSR Layout,8800000,3 BHK
1096,2,Whitefield,3900000,2 BHK
1180,1,Kaggadasapura,5000000,2 BHK
1300,2,Uttarahalli,4700000,3 BHK
1020,2,tc.palya,6200000,2 Bedroom
600,2,Margondanahalli,3500000,2 Bedroom
3563,6,Dollar Scheme Colony,31000000,4 BHK
1165,2,Konanakunte Cross,4700000,2 BHK
1685,3,Bellandur,10000000,3 BHK
1210,2,Balagere,8300000,2 BHK
1030,1,Kammasandra,2575000,2 BHK
1100,2,Nagappa Reddy Layout,4350000,2 BHK
1482,3,Jakkur,8600000,3 BHK
1344,2,Hebbal,10800000,2 BHK
1275,2,Kothannur,3980000,3 BHK
462,3,Vidyaranyapura,3800000,3 Bedroom
3300,5,Omarbagh Layout,31800000,4 BHK
1210,2,Panathur,8500000,2 BHK
1320,3,Hebbal,22600000,3 BHK
1532,3,Hosa Road,9813000,3 BHK
1245,2,JP Nagar,11000000,2 BHK
1212,2,Nagarbhavi,5000000,2 BHK
1230,2,Sarjapur  Road,6500000,2 BHK
1000,5,Indira Nagar,18000000,5 Bedroom
2257,3,Ramagondanahalli,15900000,3 BHK
1246,2,Vittasandra,6540000,2 BHK
1080,2,Gunjur,4100000,2 BHK
3Cents,6,Kannur,7500000,6 Bedroom
1360,2,Varthur,8500000,3 BHK
1260,2,Yelenahalli,4788000,2 BHK
1200,3,Kengeri Satellite Town,11000000,4 Bedroom
1200,3,anjananager magdi road,16500000,3 Bedroom
950,2,Kasavanhalli,3900000,2 BHK
1020,2,Nagarbhavi,5500000,2 BHK
1400,2,Electronic City Phase II,4044000,3 BHK
1440,4,Kodipalya,8800000,4 Bedroom
800,6,Huskur,7500000,6 BHK
1310 - 1615,,KR Puram,6281000,3 BHK
1175,2,Electronics City Phase 1,6900000,2 BHK
1185,2,Raja Rajeshwari Nagar,4017000,2 BHK
2250,3,Aishwarya Crystal Layout,11300000,3 BHK
1178,2,Sarjapur  Road,4043000,2 BHK
36000,4,Ulsoor,45000000,4 BHK
825,1,Whitefield,4490000,1 BHK
1250,3,Madiwala,4300000,3 BHK
1113.12,2,Electronics City Phase 1,5500000,2 BHK
1718,3,2nd Block Jayanagar,22300000,3 BHK
1010,2,Gottigere,3500000,2 BHK
1500,4,Syndicate Bank Colony,24000000,4 Bedroom
540,1,Rayasandra,1650000,1 Bedroom
1194,2,Hosur Road,7164000,2 BHK
1470,6,Vijayanagar,30000000,8 Bedroom
600,4,2nd Stage Nagarbhavi,10000000,3 Bedroom
1108,2,Electronic City,6715000,2 BHK
3895,2,Hebbal,45100000,4 BHK
700,2,Kanakpura Road,3499000,2 BHK
1600,3,Somasundara Palya,6800000,3 BHK
1850,3,Nagarbhavi,9000000,3 BHK
1250,2,Tumkur Road,3300000,2 BHK
600,1,Ramamurthy Nagar,4300000,1 Bedroom
1140,2,Raja Rajeshwari Nagar,4927000,2 BHK
1200,2,CQAL Layout,7500000,3 BHK
985,2,Nayandanahalli,5500000,2 BHK
982,2,Bellandur,5500000,2 BHK
600,1,9th Phase JP Nagar,2000000,1 BHK
2640,5,Old Madras Road,14200000,3 BHK
1314,2,Akshaya Nagar,6880000,2 BHK
1700,2,Vijaya Bank Layout,6850000,3 BHK
1077,2,1st Phase JP Nagar,9300000,2 BHK
1782 - 2000,,Chandapura,6616500,4 Bedroom
2000,4,Varanasi,9900000,5 BHK
1643,3,DUO Layout,7500000,3 BHK
1200,3,Kengeri,6700000,3 Bedroom
1020,2,Abbigere,4182000,2 BHK
621,7,Vittasandra,6400000,7 Bedroom
1740,3,Daadys Gaarden Layout,5500000,3 BHK
1225,2,GM Palaya,4700000,2 BHK
1241,2,Thanisandra,6100000,3 BHK
1041,2,Hennur,4060000,2 BHK
1050,2,Bommanahalli,4600000,2 BHK
4400,3,Srinivas Colony,90100000,3 BHK
1309,2,Kanakpura Road,6439000,2 BHK
1128,2,Dodda Nekkundi,4500000,2 BHK
1430,2,Raja Rajeshwari Nagar,5000000,3 BHK
1065,2,Old Madras Road,4786000,2 BHK
1085,2,OMBR Layout,6400000,2 BHK
750,1,Vishveshwarya Layout,3000000,1 Bedroom
981,2,Bellandur,3728000,2 BHK
1548.3,4,Bhoganhalli,12900000,4 BHK
2302,4,Hebbal Kempapura,30000000,4 BHK
1410,2,Kalyan nagar,6000000,3 BHK
1525.84,3,Hosa Road,11700000,3 BHK
1200,2,Begur Road,4260000,2 BHK
1030,2,Sampangi Rama Nagar,8000000,2 BHK
1852,2,BTM 1st Stage,9500000,3 BHK
1160,2,Electronic City,3350000,2 BHK
918,2,Jigani,4900000,2 BHK
1200,6,HRBR Layout,25000000,6 Bedroom
1150,2,JP Nagar,4990000,3 BHK
2700,3,Indira Nagar,32400000,3 BHK
1150,2,Moodalapalya,6900000,2 BHK
1227,2,Whitefield,5349000,2 BHK
840,8,Moodalapalya,12000000,6 Bedroom
1198,2,Panathur,8200000,2 BHK
1200,3, Devarachikkanahalli,16000000,3 Bedroom
188.89Sq. Yards,3,Frazer Town,18000000,3 BHK
2600,3,Nelamangala,9500000,4 Bedroom
797,2,Pattandur Agrahara,3200000,2 BHK
1350,2,Nayandanahalli,6800000,3 BHK
2500,4,Sahakara Nagar,20000000,4 BHK
2215,4,Thigalarapalya,16000000,3 BHK
2700,4,Bannerghatta Road,26000000,4 BHK
1500,2,Gokaula Extension,9000000,3 BHK
900,2,Subash Nagar,5500000,2 Bedroom
1355,2,Poorna Pragna Layout,5827000,3 BHK
1465,2,Kudlu Gate,4981000,3 BHK
1006,2,Ramamurthy Nagar,5700000,2 Bedroom
2000,4,Vishveshwarya Layout,7500000,4 BHK
1128,2,Electronic City,6570000,2 BHK
850,2,Pattanagere,3500000,2 BHK
1310,2,ISRO Layout,6800000,3 BHK
1390,2,Banashankari,8600000,2 BHK
1390,2,Kathriguppe,7645000,3 BHK
2396,4,Marathahalli,32500000,4 Bedroom
1170,2,Electronic City,3300000,2 BHK
1385,2,Gottigere,5000000,3 BHK
1160,2,Old Madras Road,4200000,2 BHK
1200,2,Bannerghatta Road,6900000,3 BHK
1475,2,Mahadevpura,5500000,2 BHK
1939,3,Sarjapur  Road,9800000,3 Bedroom
850,2,7th Phase JP Nagar,4200000,2 BHK
675,1,Balagere,4500000,1 BHK
1060,2,Electronic City,5100000,2 BHK
1235,2,Whitefield,4700000,2 BHK
600,4,RTO ullalu,11000000,2 Bedroom
1250,2,Austin Town,6000000,2 BHK
1460,2,Banashankari,7000000,2 BHK
850,1,Indira Nagar,5700000,1 BHK
1843,3,Kanakpura Road,8200000,3 BHK
1680,3,7th Phase JP Nagar,11700000,3 BHK
1047,2,Kundalahalli,8400000,2 BHK
1100,2,8th Phase JP Nagar,3500000,2 BHK
3250,8,Indira Nagar,60000000,8 Bedroom
1120,2,Nagarbhavi,5300000,2 BHK
970,2,Carmelaram,3500000,2 BHK
1200,7,Bommanahalli,12500000,5 Bedroom
1100,2,Hosa Road,8500000,3 BHK
1685,3,Uttarahalli,8500000,3 BHK
1148,2,Doddanekundi,5900000,2 BHK
1050,2,Marathahalli,6500000,2 BHK
1465,2,Bannerghatta Road,7600000,3 BHK
3401,5,Kothanur,23000000,4 Bedroom
630,1,Electronic City,6000000,1 BHK
1200,9,Vidyaranyapura,17500000,9 Bedroom
1750,2,Cottonpet,22500000,4 Bedroom
1350,3,Shikaripalya,6000000,3 BHK
1760,3,Sector 7 HSR Layout,16000000,3 BHK
1440,2,Rajaji Nagar,18500000,2 BHK
1200,2,Banashankari Stage III,4200000,2 BHK
1100,2,Hennur Bande,7800000,2 BHK
1140,2,Kaggadasapura,4600000,2 BHK
1469 - 1766,3,Hormavu,7359500,3 BHK
1410,2,Gottigere,4500000,2 BHK
1434,2,Mahadevpura,6739000,3 BHK
1180,2,"ravindra nagar, T.dasarahalli peenya",7400000,2 Bedroom
1343,2,EPIP Zone,8600000,2 BHK
1184,2,LB Shastri Nagar,6900000,2 BHK
2246,3,Koramangala,30000000,3 BHK
4510,4,Rajankunte,20000000,3 Bedroom
3785,5,Sarjapur  Road,28000000,4 BHK
1540,3,1st Block BEL Layout,8500000,3 BHK
1550,3,Kanakpura Road,6511000,3 BHK
1345,2,Yelahanka,5700000,3 BHK
975,2,Electronic City Phase II,4500000,3 BHK
1152,2,JP Nagar,3456000,2 BHK
3200,4,Old Airport Road,70000000,4 Bedroom
1033,2,Kodathi,3150000,3 BHK
1800,3,Richards Town,23000000,3 BHK
1223,2,Subramanyapura,4281000,3 BHK
1762,3,Kadugodi,11200000,3 BHK
560,2,Kengeri Satellite Town,1660000,2 BHK
2000,6,KR Puram,8500000,6 Bedroom
1410,2,Electronic City,3800000,3 BHK
1853,3,Thanisandra,6486000,3 BHK
1455,2,Kothanur,6900000,2 BHK
1138,2,Hebbal,11000000,2 BHK
2556,3,Sarjapur  Road,16900000,3 Bedroom
1200,2,TC Palaya,6650000,3 BHK
1200,2,Anantapura,3700000,2 BHK
204Sq. Meter,4,Thanisandra,18500000,3 BHK
1870,3,Whitefield,13800000,3 BHK
1199,2,Panathur,8600000,2 BHK
800,8,Prakruthi Township,15000000,6 Bedroom
1360,2,Doddakallasandra,5440000,3 BHK
1230,3,Babusapalaya,5300000,3 BHK
2000,3,Hosahalli Extension,12000000,3 BHK
1200,4,Kasturi Nagar,25000000,4 Bedroom
1047,2,Kundalahalli,8300000,2 BHK
6000,4,Electronic City Phase II,26000000,4 Bedroom
1200,2,Ramamurthy Nagar,7600000,2 Bedroom
1255 - 1350,2,Kengeri Satellite Town,4428500,2 BHK
725,2,Kengeri,3000000,2 BHK
1645,3,Jakkur,10000000,3 BHK
870,2,Sultan Palaya,6500000,2 BHK
1026,2,Marathahalli,4995000,2 BHK
2000,3,Bennigana Halli,14500000,3 BHK
1710,2,Cooke Town,20000000,2 BHK
1766,3,Hosur Road,13000000,3 BHK
500,1,Makali,1500000,1 BHK
1100,1,JP Nagar,1500000,2 BHK
1221,3,Jigani,5200000,3 BHK
680,1,Rachenahalli,4600000,1 BHK
1278,2,Sarjapur  Road,9000000,2 BHK
1025,2,Kodichikkanahalli,6600000,2 BHK
1175,2,Whitefield,3900000,2 BHK
870 - 1080,2,Sarjapur  Road,2827500,2 BHK
600,1,6th Phase JP Nagar,7500000,1 Bedroom
850,2,Seethappa Layout,4200000,2 BHK
710,2,Anjanapura,2500000,2 BHK
1165,2,Huskur,3364000,2 BHK
625,1,Sarjapur,1900000,1 BHK
1340,3,Kaggadasapura,6600000,3 BHK
937,2,Ananth Nagar,3500000,2 BHK
1500,6,Lakkasandra,21000000,7 Bedroom
750,1,JP Nagar,5250000,1 BHK
45Sq. Yards,6,Judicial Layout,40000000,5 Bedroom
1475,3,Shampura,7800000,3 BHK
2230,4,Singapura Village,13000000,4 Bedroom
2200,5,Jnanabharathi Layout,10000000,4 Bedroom
900,2,Mysore Road,6500000,2 Bedroom
1116,2,Electronic City Phase II,3700000,2 BHK
948,2,Hoodi,7500000,2 BHK
970,2,R.T. Nagar,5500000,2 BHK
1519,3,Akshayanagara East,6723000,3 BHK
1200,2,Thanisandra,6500000,3 BHK
1760,3,Bhoganhalli,12700000,3 BHK
4400,5,Whitefield,52500000,4 Bedroom
1914,3,Sahakara Nagar,17900000,3 BHK
1820,3,Budigere,8550000,3 BHK
1565,3,Kalena Agrahara,7800000,3 BHK
1334,2,Begur Road,4269000,2 BHK
924,2,Sarakki Nagar,7623000,2 BHK
914,2,Jigani,4900000,2 BHK
500,1,Kengeri,1700000,1 BHK
2145,3,Yelahanka,12500000,3 BHK
1200,5,Yelahanka,16200000,5 Bedroom
1650,3,Electronic City,10000000,3 BHK
3940,4,Marathahalli,22000000,4 BHK
1020,2,Electronic City,2945000,2 BHK
1180,2,Basaveshwara Nagar,5800000,2 BHK
1255,2,Ulsoor,12000000,2 BHK
2777.29,5,Langford Gardens,65000000,3 BHK
1014,2,Bommasandra,3500000,2 BHK
920,2,Shampura,9000000,4 Bedroom
695,1,Attibele,2500000,2 BHK
2273,4,Prithvi Layout,22000000,3 Bedroom
1140,2,GM Palaya,4895000,2 BHK
3000,4,Giri Nagar,37500000,6 Bedroom
2400,4,Begur Road,15200000,4 BHK
850,1,Attibele,2500000,2 BHK
1200,2,Banashankari,6000000,2 BHK
3160,4,"Bellandur, ",20600000,4 BHK
1769,3,Hoodi,9687000,3 BHK
133.3Sq. Yards,3,Jigani,16000000,4 Bedroom
1554.3,4,Bhoganhalli,13100000,4 BHK
4920,5,2nd Block Jayanagar,115000000,4 Bedroom
905,2,Mallasandra,4000000,2 BHK
627,1,Kothanur,3000000,1 Bedroom
2180,3,Domlur,28500000,3 BHK
2400,3,Frazer Town,26000000,3 BHK
1435,3,Marathahalli,7300000,3 BHK
3405.1,6,Jakkur,40000000,4 BHK
1620,3,Kodihalli,13000000,3 BHK
1862,3,Whitefield,12500000,3 BHK
674,1,Kaikondrahalli,1990000,2 BHK
1220,2,Marathahalli,5900000,2 BHK
1025,2,Electronic City,4900000,2 BHK
1430,2,Thanisandra,5450000,3 BHK
1235,2,Panathur,6500000,2 BHK
1291,2,Electronics City Phase 1,3200000,3 BHK
1498,3,Kanakpura Road,9500000,3 BHK
2180,3,Sarjapur  Road,24000000,3 BHK
1000,2,Electronic City,2970000,2 BHK
922,2,Ejipura,7000000,2 Bedroom
850,2,Victoria Layout,7200000,2 BHK
750,3,New Thippasandra,15500000,3 Bedroom
1123,2,AECS Layout,6400000,2 BHK
1235,2,Raja Rajeshwari Nagar,7500000,2 BHK
1250,2,Kogilu,5555000,2 BHK
2403,5,Whitefield,36000000,4 Bedroom
1305,2,Sarjapur  Road,9900000,2 BHK
1200,1,Attur Layout,6500000,2 Bedroom
600,3,1st Block HRBR Layout,9000000,3 Bedroom
2790,5,Hebbal,20400000,4 BHK
2010,3,Old Madras Road,12500000,4 BHK
995,2,Electronics City Phase 1,4200000,2 BHK
1277,2,Varthur Road,5900000,2 BHK
1236,2,7th Phase JP Nagar,6133000,2 BHK
1265,2,Akshaya Nagar,6700000,2 BHK
525,,Kanakpura Road,2700000,1 BHK
2570,4,Gubbalala,14100000,5 BHK
2400,5,Hennur Road,39000000,4 Bedroom
1442,3,Shikaripalya,5624000,3 BHK
1224,2,Ardendale,7000000,2 BHK
1205,2,Bellandur,5900000,2 BHK
1233,2,Richmond Town,10000000,2 BHK
1312,2,5th Block Hbr Layout,6900000,2 BHK
1449,3,Electronic City,9000000,3 BHK
1090,2,Yelenahalli,5400000,2 BHK
2100,5,Kaggadasapura,15000000,5 Bedroom
1200,2,JP Nagar,7800000,2 BHK
600,2,Mallasandra,5000000,4 Bedroom
1000,2,BTM 2nd Stage,5800000,2 BHK
2400,5,Devanahalli,19000000,4 Bedroom
1732,3,Thanisandra,8573000,3 BHK
1290,2,Banashankari,8000000,2 BHK
1840,3,Marasandra,8500000,3 BHK
1917,4,Thanisandra,10000000,3 BHK
1100,2,Bhuvaneshwari Nagar,5700000,2 BHK
1455,2,Kudlu,6000000,3 BHK
1200,5,Haralur Road,25500000,5 Bedroom
1425,2, Devarachikkanahalli,6500000,3 BHK
1655,3,Whitefield,11300000,3 BHK
2805,5,Haralur Road,16000000,4 BHK
600,7,R.T. Nagar,9300000,7 Bedroom
1040,2,AGS Layout,4679000,2 BHK
1126,2,Akshaya Nagar,5500000,2 BHK
1600,4,Kodichikkanahalli,20000000,6 Bedroom
1250,2,Hebbal,5555000,2 BHK
1800,4,Yelahanka,18000000,4 Bedroom
1200,2,Kalkere Channasandra,5300000,2 Bedroom
2050,3,Ashirvad Colony,10000000,4 BHK
530,1,Whitefield,2944000,1 BHK
2580 - 2591,4,Sarjapur,13950000,4 Bedroom
883,2,Kambipura,3700000,2 BHK
1275,3,Sompura,5900000,3 BHK
800,2,Doddabanahalli,3000000,2 BHK
1200,1,Devanahalli,9500000,1 BHK
1063,2,Bellandur,5800000,2 BHK
656,1,Balagere,4300000,1 BHK
1125,2,Shakthi Nagar,3600000,2 BHK
881,2,Marathahalli,4806000,2 BHK
1350,8,Nayandanahalli,20000000,9 Bedroom
700,1,Bisuvanahalli,3200000,2 BHK
