total_sqft,bath,location,price,size
1009,3,SLV Sun Grove by SLV constructions,4250000,2
1800,3,Thotada Guddadhalli Village,8700000,4
750,2,Stage 3,2700000,2
2925,4,Matsya Residency,28500000,5
2300,4,9th Phase,11500000,3
1800,3,Prakashnagar,12500000,6
1501,3,Basavanagudi,11800000,3
1300,3,Phase 1,12000000,4
1200,3,CHANNASANDRA RR NAGARA,5000000,2
960,3,9th Phase,4700000,2
2800,4,Sector 1,27500000,3
6500,4,Veer Sandra,20500000,10
1781,3,Terrace garden,25800000,3
1450,3,Vinayaka Layout,8750000,3
2200,4,Railway Layout,13500000,3
1120,3,Hoysalanagar,14000000,5
724,2,Kengeri,2800000,2
1100,3,Byrasandra,4000000,2
1200,3,Vishwanatha Naganahalli,4500000,2
1200,3,Munnekollal,5050000,2
1077,3,Belathur,6500000,2
1182,3,Anantapura,7800000,2
1485,3,THE DEFENCE ENCLAVE,7800000,3
1375,3,Sundar Ram Shetty Nagar,13000000,3
1832,3,Saravana Tranquil Heights,10000000,3
750,2,Rajanukunte,5500000,2
1910,3,Ambedkar Colony,21000000,3
800,6,Kengeri Hobli,4800000,2
1085,3,Meadows Apartments,5300000,2
1225,3,6th Phase,4900000,2
1500,3,Andrahalli,5700000,4
651,2,Narasimhaswamy Nagar,8500000,2
600,2,KSRTC Layout,2700000,2
814,3,Nelamangala,4500000,2
1800,3,7th Phase,17500000,3
800,6,Kengeri,8280000,2
1271,3,Devin Paradise Enclave,8500000,2
1639,3,Rachenahalli,9015000,3
1800,3,Rachenahalli,9900000,3
1350,3,Cambridge Layout,17000000,2
2100,4,Jinke Thimmanahalli,13500000,4
1100,3,RR Nagar,6200000,2
1195,3,Electronics City Phase 1,5200000,2
2400,4,Vestmint orchid,13899999,3
1900,3,Ashwath Nagar,9200000,5
2000,4,Prime Living,7900000,3
2300,4,Prime Living,8800000,4
1800,3,Prakashnagar,11000000,6
1000,3,OMBR Layout,4850000,2
1500,3,Customise 3 Bkh Villa,7300000,3
1700,3,Customized  3 Bkh Villa Fully Furnished  kichen,7900000,3
2000,6,Customized 4 Bkh Villa with Roof of Garden,8800000,4
883,3,Kambipura,4300000,2
1096,3,Agrahara,4500000,2
1096,3,Agrahara Layout,5312000,1
775,2,Veer Sandra,3800000,2
1220,3,Balagere,12100000,2
883,3,Kambipura,4250000,2
923,3,Sampigehalli,5600000,2
1824,3,Vadarpalya,19700000,3
960,3,Nelamangala,4200000,2
1417,3,Yelenahalli,9700000,2
1744,3,Anagalapura,8500000,3
980,3,HMT Estate,10000000,2
1711,3,Devanahalli,9000000,3
1174,3,Devasthanagalu,7400000,2
905,3,Vishwapriya Nagar,5800000,2
966,3,Nelamangala,5600000,2
1215,3,Narayanaghatta,4796000,3
901,3,Judicial Layout 2nd Phase,7500000,2
1060,3,Yelahanka,7820000,3
1070,3,Bommasandra,5800000,2
883,3,Meenakshi Layout,5100000,2
900,3,Judicial Layout 2nd Phase,7500000,2
1082,3,Kambipura,5100000,3
900,3,Judicial Layout 2nd Phase,6900000,2
2350,4,Kuvempu Layout,20099999,3
1290,3,Rachenahalli,9500000,2
1216,3,Dodsworth Layout,12500000,2
1400,3,Hosahalli,9200000,2
1820,3,Prakruthi Nagar,18000000,3
1100,3,Stage 1,6900000,2
1481,3,Stage 1,8900000,3
1070,3,Kammasandra,4200000,2
1705,3,Muddanahalli,10900000,3
1118,3,Yelahanka,7500000,3
1086,3,Nagasandra,8700000,2
1765,3,Duravani Nagar,15500000,3
1165,3,P&T Layout,8500000,2
1393,3,Muddanahalli,9200000,2
2210,4,Malleswaram,40000000,3
1564,3,Devin Paradise Enclave,13500000,3
1348,3,Seegehalli,9400000,2
1765,3,Hampapura,15500000,3
1124,3,Belathur,6000000,2
1165,3,Manayata Tech Park,8800000,2
1720,3,Singapore Gardens And Green Fields,15500000,3
1880,3,Prakruthi Nagar,16000000,5
1308,3,Judicial Layout,11000000,3
1146,3,Hosahalli,8500000,2
975,3,Iggalur,4000000,2
2500,4,Anchepalya,8079000,2
1918,3,Hampapura,12500000,3
883,3,Kambipura,4500000,2
1086,3,Nagasandra,8600000,2
2900,4,Kothanur,25000000,4
1755,3,Anekal,17000000,3
1701,3,Lingadheeranahalli,15000000,3
1210,3,Vidyaranyapura,6400000,2
1552,3,Volagerekallahalli,12000000,3
607,2,Anchepalya,5000000,1
1573,3,Volagerekallahalli,11000000,3
1507,3,Mattanahalli,18000000,3
1086,3,Nagasandra,8500000,2
1036,3,Aivarkhandpur,7000000,2
800,1,Aivarkhandpur,5000000,1
1285,3,Dodpete,8900000,2
607,2,Nagasandra,5900000,1
660,2,Ranganatha Colony,7200000,1
1103,3,Hosahalli,7500000,2
3560,2,Hulimavu,37500000,4
590,2,Biotech Park,2650000,1
880,3,Kambipura,6000000,2
1080,3,Thirumagondanahalli,4500000,2
1297,3,Nagasandra,9500000,3
1603,3,Happy Valley Layout,11700000,3
1082,3,Kambipura,6200000,3
4500,5,Nagavarapalya,72000000,5
1445,3,Kothanur,9500000,3
1200,3,Devasthanagalu,5500000,2
1205,3,Kadugodi,5500000,2
1425,3,Happy Valley Layout,13500000,3
1645,3,Shabhari Nagar,21100000,3
950,3,Sree Narayana Nagar,4500000,3
835,3,Iggalur,3354999,2
1285,3,Mattanahalli,11000000,2
500,2,Cauvery Nagar,4300000,1
1159,3,Janatha Colony,6100000,2
880,3,Lingadheeranahalli,7500000,2
1085,3,Anchepalya,8600000,2
850,3,Lingadheeranahalli,7500000,2
990,3,Veer Sandra,6000000,3
1390,3,Kengeri,6900000,3
883,3,Kengeri Hobli,9500000,2
3125,2,Chamundi Nagar,39500000,3
1608,3,Eshwara Nagar,13000000,3
1100,3,Meenakshi Layout,5800000,2
1139,3,HMT Estate,6800000,2
1267,3,Muddanahalli,8600000,2
1305,3,Muddanahalli,7300000,2
1200,3,Lingadheeranahalli,8800000,3
595,2,Yelahanka,6000000,1
2570,4,Gopalapura,37200000,4
999,3,BEML Layout,7000000,2
1080,3,Prakruthi Nagar,4900000,2
2171,4,Manjunatha Nagar,17200000,4
1735,3,Hampapura,11500000,3
3800,1,Chikkasanne,38500000,4
1060,3,Gollahalli,6500000,2
900,3,Judicial Layout,6500000,2
1554,3,Mattanahalli,10500000,3
883,3,Byadralli,4500000,2
1200,3,Phase 2,6000000,2
590,2,Terracon Doctors Enclave,2950000,1
1241,3,Chokkanahalli,8000000,3
1100,3,Kumbena Agrahara,6500000,2
1082,3,Kengeri Hobli,5000000,3
1109,3,Gunjur Palya,6800000,2
1157,3,Konadasapura,8500000,2
700,2,Panathur,6000000,1
598,2,Sai Sree Layout,5500000,1
883,3,Kengeri Hobli,7000000,2
1373,3,Manjunatha Nagar,10500000,3
1405,3,Dodda Banaswadi,19800000,5
1700,3,Kadubeesanahalli,10300000,3
1202,3,Manayata Tech Park,6500000,2
1195,3,Hallehalli,6500000,2
1275,3,Monishpark Apartment,10000000,2
1720,3,sobha elite vills,8000000,3
1033,3,tetra grand green,7500000,2
1000,3,GM Silver Oak,4800000,2
1720,3,SOBHA ELITE VILLAS,8600000,3
1270,3,Narayanappa Garden,5500000,2
2030,4,Siddaramana Dinne,28500000,3
950,3,Lingadheeranahalli,5800000,2
600,2,Konappana Agrahara,3200000,2
1100,3,N D Residency,5500000,2
920,3,Rajapura,4000000,2
1500,3,GM Global Techies Town,7500000,2
1380,3,Amrutahalli,12000000,2
